Model,File,Accuracy,Precision,Recall,F1_Score
SVM,group_test_hk1_data.csv,0.7685749086479903,0.8069645971060285,0.7685749086479903,0.7380295271737456
SVM,group_test_hk2_data.csv,0.763387297633873,0.7999615500625652,0.763387297633873,0.7277082851092748
SVM,group_test_hk3_data.csv,0.7562540089801154,0.7885643865245677,0.7562540089801154,0.712055273077727
SVM,group_test_hk4_data.csv,0.7532467532467533,0.782793235541437,0.7532467532467533,0.7048298967445196
SVM,group_test_hk5_data.csv,0.7485109199205824,0.7717532120416744,0.7485109199205824,0.6925121581534857
SVM,group_test_hk6_data.csv,0.7418478260869565,0.7483544023741769,0.7418478260869565,0.6727133301124811
SVM,group_test_hk7_data.csv,0.747021723896286,0.7294228196470662,0.747021723896286,0.6695125449196617
SVM,group_test_hk8_data.csv,0.9322344322344323,0.8857088690730096,0.9322344322344323,0.9083762998454942
Logistic Regression,group_test_hk1_data.csv,0.7594397076735688,0.8205985599965699,0.7594397076735688,0.7197088494419615
Logistic Regression,group_test_hk2_data.csv,0.7528019925280199,0.8133120303254341,0.7528019925280199,0.7060152683906777
Logistic Regression,group_test_hk3_data.csv,0.7459910198845414,0.8058361439137448,0.7459910198845414,0.6881039349933271
Logistic Regression,group_test_hk4_data.csv,0.7428571428571429,0.8019437387125409,0.7428571428571429,0.6792390956966387
Logistic Regression,group_test_hk5_data.csv,0.7392455327597618,0.7921965927820361,0.7392455327597618,0.6670623892037687
Logistic Regression,group_test_hk6_data.csv,0.7377717391304348,0.7795071038918744,0.7377717391304348,0.6532678154505106
Logistic Regression,group_test_hk7_data.csv,0.7512263489838823,0.7725988242910093,0.7512263489838823,0.6664200150556893
Logistic Regression,group_test_hk8_data.csv,0.9459706959706959,0.9329019908500071,0.9459706959706959,0.930899278656451
Decision Tree,group_test_hk1_data.csv,0.7643118148599269,0.8038178066218714,0.7643118148599269,0.7321131428499872
Decision Tree,group_test_hk2_data.csv,0.7590286425902865,0.7965173548370417,0.7590286425902865,0.7214034627487689
Decision Tree,group_test_hk3_data.csv,0.7517639512508018,0.7844785412637137,0.7517639512508018,0.7051162689091611
Decision Tree,group_test_hk4_data.csv,0.7487012987012988,0.7782879968993067,0.7487012987012988,0.6975788483773605
Decision Tree,group_test_hk5_data.csv,0.7438782263401721,0.766225994658435,0.7438782263401721,0.6846997025798013
Decision Tree,group_test_hk6_data.csv,0.7370923913043478,0.7394842467814052,0.7370923913043478,0.6639175122718095
Decision Tree,group_test_hk7_data.csv,0.7428170988086895,0.7163553452235154,0.7428170988086895,0.6611529215431858
Decision Tree,group_test_hk8_data.csv,0.9322344322344323,0.8857088690730096,0.9322344322344323,0.9083762998454942
Random Forest,group_test_hk1_data.csv,0.9007308160779537,0.9063025840051214,0.9007308160779537,0.9017896328611708
Random Forest,group_test_hk2_data.csv,0.8978829389788294,0.904167043376565,0.8978829389788294,0.8991610840113737
Random Forest,group_test_hk3_data.csv,0.8960872354073124,0.9029400064635187,0.8960872354073124,0.8976226361294877
Random Forest,group_test_hk4_data.csv,0.8948051948051948,0.902049327947195,0.8948051948051948,0.8964810965421622
Random Forest,group_test_hk5_data.csv,0.8921244209133025,0.9005305524507989,0.8921244209133025,0.8941194746145293
Random Forest,group_test_hk6_data.csv,0.890625,0.8997066364773632,0.890625,0.8929326025336183
Random Forest,group_test_hk7_data.csv,0.8878766643307638,0.8981532819275319,0.8878766643307638,0.8906658651246215
Random Forest,group_test_hk8_data.csv,0.8754578754578755,0.9271003619558104,0.8754578754578755,0.8965806560022548
Gradient Boosting,group_test_hk1_data.csv,0.7728380024360536,0.8091361225008499,0.7728380024360536,0.7441724038268596
Gradient Boosting,group_test_hk2_data.csv,0.7677459526774595,0.802315538309904,0.7677459526774595,0.7342788525746847
Gradient Boosting,group_test_hk3_data.csv,0.7607440667094291,0.7913425427765409,0.7607440667094291,0.7193269877430623
Gradient Boosting,group_test_hk4_data.csv,0.7577922077922078,0.7858649104369324,0.7577922077922078,0.7124476049853544
Gradient Boosting,group_test_hk5_data.csv,0.7531436135009927,0.7755711352051202,0.7531436135009927,0.7007535320064967
Gradient Boosting,group_test_hk6_data.csv,0.7466032608695652,0.7547091992791392,0.7466032608695652,0.6820493662045138
Gradient Boosting,group_test_hk7_data.csv,0.7526278906797477,0.7422352999007142,0.7526278906797477,0.6812479861307638
Gradient Boosting,group_test_hk8_data.csv,0.9386446886446886,0.9169376592244106,0.9386446886446886,0.9226692901707095
